commentNum,href,id,image,introduce,name,quote,star
632869,https://movie.douban.com/subject/1849031/,24,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...2006/美国/剧情传记家庭,当幸福来敲门,none,8.9
668397,https://movie.douban.com/subject/3319755/,25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...2010/美国/剧情喜剧爱情,怦然心动,none,8.9
347355,https://movie.douban.com/subject/1291828/,26,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东娜拉·塔莉Antonel...1988/意大利法国/剧情爱情,天堂电影院,none,9.1
198318,https://movie.douban.com/subject/1293182/,27,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957/美国/剧情,十二怒汉,none,9.4
274006,https://movie.douban.com/subject/1291858/,28,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000/中国大陆/剧情历史战争,鬼子来了,none,9.2
663537,https://movie.douban.com/subject/1929463/,29,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012/美国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,none,9.0
386542,https://movie.douban.com/subject/1851857/,30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,none,9.1
321556,https://movie.douban.com/subject/1292365/,31,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994/中国大陆香港/剧情历史家庭,活着,none,9.1
445236,https://movie.douban.com/subject/1292000/,32,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,none,9.0
325995,https://movie.douban.com/subject/1291552/,33,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,none,9.1
620310,https://movie.douban.com/subject/25662329/,34,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...2016/美国/喜剧动画冒险,疯狂动物城,none,9.1
383650,https://movie.douban.com/subject/1291583/,35,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...1986/日本/动画奇幻冒险,天空之城,none,9.0
473162,https://movie.douban.com/subject/1299398/,36,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之月光宝盒,none,8.9
441371,https://movie.douban.com/subject/1293839/,37,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...1953/美国/喜剧剧情爱情,罗马假日,none,8.9
575623,https://movie.douban.com/subject/2129039/,38,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...2009/美国/剧情喜剧动画冒险,飞屋环游记,none,8.9
121922,https://movie.douban.com/subject/1296141/,39,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,导演:比利·怀尔德BillyWilder主演:查尔斯·劳顿CharlesLaughton/...1957/美国/剧情犯罪悬疑,控方证人,none,9.6
259546,https://movie.douban.com/subject/1900841/,40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck...2006/德国/剧情悬疑,窃听风暴,none,9.1
305374,https://movie.douban.com/subject/1293350/,41,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪,两杆大烟枪,none,9.1
310129,https://movie.douban.com/subject/1292224/,42,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情,飞越疯人院,none,9.0
373268,https://movie.douban.com/subject/1298624/,43,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...1992/美国/剧情,闻香识女人,none,8.9
410742,https://movie.douban.com/subject/1308807/,44,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...2004/日本/动画奇幻冒险,哈尔的移动城堡,none,8.9
251717,https://movie.douban.com/subject/21937445/,45,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...2013/韩国/剧情,辩护人,none,9.2
202062,https://movie.douban.com/subject/3442220/,46,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,导演:LouiePsihoyos主演:JohnChisholm/Mandy-RaeCruikshank/Char...2009/美国/纪录片,海豚湾,none,9.3
483223,https://movie.douban.com/subject/1309046/,47,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,none,8.8
321400,https://movie.douban.com/subject/1291548/,48,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情,死亡诗社,none,9.0
215854,https://movie.douban.com/subject/1299131/,49,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪,教父2,none,9.1
345428,https://movie.douban.com/subject/1306029/,50,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...2001/美国/传记剧情,美丽心灵,none,8.9
